dt,open,high,low,close,vwap,atr,rsi2,adx15
2023-01-03 01:50:00,25739.469,25754.469,25737.419,25752.419,25744.0358115942,17.12322872894812,58.85126779549937,40.8743450637048
2023-01-03 01:55:00,25757.999,25757.999,25747.269,25754.419,25744.418861111113,16.666569534023225,64.10307751901097,40.8743450637048
2023-01-03 02:00:00,25757.369,25772.999,25752.469,25772.369,25745.27993333333,16.942528853021482,89.09225485458273,39.37146604889717
2023-01-03 02:05:00,25767.269,25772.519,25747.319,25752.999,25745.754256410255,17.532348220662858,35.60251019297368,39.37146604889717
2023-01-03 02:10:00,25749.519,25752.519,25742.319,25747.999,25745.823074074073,17.04289477632982,27.178388148837044,39.37146604889717
2023-01-03 02:15:00,25749.469,25767.519,25749.469,25767.469,25746.382452380953,17.219830863734867,74.38352806227408,37.97593553514723
2023-01-03 02:20:00,25764.469,25772.519,25759.369,25764.319,25747.03831034483,16.92912865918248,61.48665398084199,37.97593553514723
2023-01-03 02:25:00,25767.369,25769.519,25752.319,25769.519,25747.596555555556,16.94847661209807,75.50728172794189,37.97593553514723
2023-01-03 02:30:00,25767.269,25772.519,25757.269,25764.369,25748.14889247312,16.827156854091065,43.8717538859912,36.68008577237943
2023-01-03 02:35:00,25762.519,25777.319,25762.519,25772.419,25748.855250000004,16.68235993594165,75.69995120710283,36.68008577237943
2023-01-03 02:40:00,25767.319,25767.519,25757.319,25762.999,25749.272131313137,16.56933422623169,32.529227118665744,36.68008577237943
2023-01-03 02:45:00,25764.419,25817.369,25764.419,25814.419,25750.726941176476,19.26938178150078,90.6626989399588,34.713923431111475
2023-01-03 02:50:00,25812.999,25814.319,25792.269,25812.369,25752.31528571429,19.4751402256794,84.83449376171193,34.713923431111475
2023-01-03 02:55:00,25814.519,25827.519,25807.319,25819.999,25754.147611111115,19.526915923845213,89.74283083513274,34.713923431111475
2023-01-03 03:00:00,25822.319,25857.999,25817.269,25857.419,25756.582243243247,21.04142192928481,97.54294769914188,34.12718739999194
2023-01-03 03:05:00,25859.319,25879.369,25852.269,25862.319,25759.42619298246,21.47417750576436,97.95101724692375,34.12718739999194
2023-01-03 03:10:00,25857.419,25867.419,25847.269,25857.369,25761.937119658123,21.379593398209867,73.34126265738993,34.12718739999194
2023-01-03 03:15:00,25854.319,25857.999,25837.419,25854.269,25764.13608333334,21.322479584051884,55.78591656252784,34.09474184452295
2023-01-03 03:20:00,25857.999,25887.999,25852.469,25887.269,25766.862333333334,22.33730247090524,92.74722671296293,34.09474184452295
2023-01-03 03:25:00,25884.419,25892.419,25877.269,25887.419,25769.69185714286,21.823923722983544,92.80192958597117,34.09474184452295
2023-01-03 03:30:00,25882.269,25922.999,25882.269,25912.519,25772.8601627907,23.174357742770404,97.95751291674166,34.90162614709389
2023-01-03 03:35:00,25914.469,25917.999,25887.269,25892.999,25775.736575757583,23.71404647542963,46.33680856051348,34.90162614709389
2023-01-03 03:40:00,25894.369,25927.519,25894.369,25904.269,25778.69174074075,24.48590029861326,66.63773338830893,34.90162614709389
2023-01-03 03:45:00,25907.369,25912.999,25902.269,25907.269,25781.492188405802,23.503335991569426,72.23058600814072,35.7262747981604
2023-01-03 03:50:00,25909.999,25924.999,25902.269,25922.469,25784.36637588653,23.448097706457293,89.71027831558077,35.7262747981604
2023-01-03 03:55:00,25924.419,25927.519,25912.369,25917.999,25787.177402777783,22.85537644171045,65.47139557745597,35.7262747981604
2023-01-03 04:00:00,25912.419,25922.519,25902.269,25907.469,25789.699340136056,22.66927812444542,28.804223768842746,36.492019974150715
